sentence,label
he found a clean sheet of paper and began once more to write,Literal
sweet tooth,Metaphor
it 's essential to learn the ropes first from a qualified sailing instructor,Metaphor
"The suggestion that experience has a""sell-by date""is preposterous",Metaphor
Tracey Emin in the buff,Euphemism
pull the plug when the computer is off,Literal
They hold no brief for the idea of an Ireland of equals,Metaphor
you have all the luck. Right out of my league,Metaphor
A period of literally climbing the walls,Euphemism
Lyons was in top form and went on to take the chequered flag for the second year running,Metaphor
I had occasion to cross swords later,Euphemism
"give or take a few, about say five percent",Metaphor
one may be forced to the conclusion that his departure was a blessing in disguise for him.,Metaphor
"Sam seriously injured the fellow, and was then compelled to jump ship",Metaphor
he hoped between the three of us we might make head or tail of it,Metaphor
"It were n't the way everyone said and thought it was, not by a long chalk",Metaphor
That would light a fire under the Campaign for an English Parliament,Metaphor
prison terms of up to three years on charges of acting as a fifth column,Metaphor
one on which you can again get your hands dirty,Metaphor
touch base with,Metaphor
"If there had been a Thatcherite on the programme, it would have been blown out of the water.",Euphemism
"After 9 games without a win, Hereford United hit the jackpot on Saturday",Metaphor
The country 's newly developing democracy is gasping for life under the heel of an increasingly dictatorial regime,Metaphor
the forgotten nooks and crannies of the American dream,Metaphor
neck and neck,Metaphor
this is really a kick in the teeth for bowlers,Metaphor
I have a list of vices as long as your arm,Simile
they cross swords for the first time in two decades,Euphemism
I ca n't say I go a bundle on the sound,Metaphor
Two of France 's proudest industries are at each other 's throats.,Euphemism
They were only clutching at straws.,Metaphor
all shapes and sizes of water craft go under the hammer,Metaphor
if you get the balance wrong you can feed it till you go blue in the face and get nowhere,Metaphor
"The dummy appears, pushed from pillar to post.",Euphemism
"let the poor little woman open her legs to more than the statutory one, and she 's cheap, a woman of easy virtue",Euphemism
"As a result, they had a lot of time on their hands",Metaphor
they are truly a cut above the average,Metaphor
the existence of the lame-duck Kashmiri state government,Metaphor
it 's a different ball game because we I think we have an opportunity to maintain that price for a while,Metaphor
We are packed like sardines in the back of the lead Toyota,Simile
Canada had come in from the cold,Metaphor
He talks a mile a minute and it all leads to how smart he is,Metaphor
sweat bullets,Metaphor
the tragedy was a closed book,Metaphor
Plant passes tests with flying colours,Metaphor
I 'm 57 now and sometimes I fly off the handle,Euphemism
he still has enough talent and good will on which to stage the comeback once the die is cast,Metaphor
You see there 's too much spare time on their hands,Metaphor
When the stumps only come up to your knees you have to be larger than life.,Metaphor
Just as long as the boys go easy on me,Metaphor
The reasons for this is essentially divide-and-rule,Metaphor
the fact that the young man was cut off in his prime is sad,Euphemism
"Though it do n't show, he 's as clean as a new pin.",Simile
we were determined to have a go,Metaphor
she should at least have a head start,Metaphor
everyone was on site bright-eyed and bushy-tailed,Metaphor
I was n't born yesterday,Metaphor
it was a piece of cake compared with Bones,Metaphor
everybody 's getting a fair crack of the whip,Metaphor
the Party 's footsoldiers were given four days simply to kick over the traces,Metaphor
one day Rhoda went off like a damp squib into eternity,Euphemism
If they could get it together they 'd be a much better team,Metaphor
New cities are pushing up like mushrooms to replace the old,Simile
we had our best Southern League season and went within an ace of winning,Metaphor
"She fired off a warning shot across the bows of Amazon.co.uk, who have now reduced the price to £ 15.99.",Metaphor
Evans was as pure as the driven snow.,Simile
Are we so far gone as a republic that turning back the hands of time might actually collapses the system ?,Personification
All things being equal we could probably turn one of these things around,Metaphor
"Even if you feel you have two left feet, this class will teach you the basics of waltz",Euphemism
Crazy is living in a fog and pissing your pants,Metaphor
he is on the crest of a wave,Metaphor
unlikely to have been appreciated within the corridors of power,Metaphor
"If you do n't, you 'll soon be out on your ear",Euphemism
Madhuri is miffed at being left out in the cold,Metaphor
his John Turner-sponsored machine proved reluctant to chime in,Metaphor
cut and thrust,Metaphor
Wunmi shut her eyes to the glaring beam,Literal
He is now more likely to labour the point if he is unhappy with the state of affairs,Metaphor
it made setting up a club as easy as falling off a log,Simile
the 52 year old manager has been through a couple of recessions and knows the ropes,Metaphor
The comparison with a Pashley Moulton fx8 is particularly interesting - apples and oranges.,Metaphor
Geraldine Lynn hit the nail on the head,Metaphor
that will be a hard nut to crack but we will get stuck in and give it our best shot,Metaphor
"however high and mighty, no one will receive an amnesty",Metaphor
And you were working at the ski-shop in order to keep body and soul together,Metaphor
When the project is completed copies of the project report gather dust,Metaphor
"Frank Sinatra will ask you for a song, and I had one all ready",Literal
You have an old head on young shoulders,Paradox
And it was high time she retired,Metaphor
This on a good day can be beyond your wildest dreams,Metaphor
There 's a lady you should meet who lives in Harlonne. You 'd get on like a house on fire,Simile
to a fault,Metaphor
They 're looking into the matter of keys. I rather think heads will roll,Euphemism
"You have gotten your foot in the door, and now you 're making great money",Metaphor
so as to curry favour,Metaphor
All you have to do is to go with the flow of events,Metaphor
"Well, it 's the university of life. You learn new things every day",Metaphor
Mark has five published titles under his belt,Metaphor
he refused to take up the cudgels of such a battle,Metaphor
They will continue to fight for British agriculture as a whole and not bend over backwards to please MacSharry.,Metaphor
"Look -- you 've got your cross to bear, all right, I 've got mine",Metaphor
Edwin Gooch once demanded that the farm worker be given his place in the sun.,Metaphor
to chat and play games with the children,Literal
Women in Christianity today stand at the crossroads,Euphemism
"Put a sock in it, grumbled Perdita",Metaphor
the Labour party and the Conservative party have been hand in glove,Metaphor
I 'm going to sit on the fence and go for Buckingham,Metaphor
encourage the winger to have a go for the corner,Metaphor
I want to thank you from the bottom of my heart for all you 've done for me,Metaphor
He scorned them as a man of action must despise all faint-hearts.,Metaphor
Apparitions of Melody will blow the doors off.,Metaphor
he has been driving since the year dot,Metaphor
Suddenly she was caught between a rock and a hard place.,Metaphor
It is often helpful to take a cue from a student,Metaphor
Why make a drama out of a crisis ?,Metaphor
it will turn heads,Metaphor
if only he had the courage to grasp the nettle,Metaphor
Thornton gave him £ 200 per annum to keep open house and to distribute to the poor,Metaphor
Not that they expected anything other than a hard time when they visited Barnsley,Metaphor
The temptation is to jump to conclusions without arriving at them via a review,Metaphor
"All right, pick holes, he said sulkily",Metaphor
What do you do when offered a fool 's gold ?,Metaphor
When was the last time you bought a new broom ?,Literal
I suppose he always was too clever by half,Euphemism
It had only been a shot in the dark,Metaphor
Clinton became an old hand at climbing out of the grave,Metaphor
They have been pushed from pillar to post within that area.,Euphemism
"And then of course, she 's so TRUE to her cause, and so in love with nature and animals you ca n't help but soften to her, then sweat bullets with her",Metaphor
These words did not fall on deaf ears,Metaphor
"Money talks, but is deaf",Personification
You may be clutching at straws.,Metaphor
incase you feel your age might go against you then leave it,Literal
it cuts both ways,Metaphor
What you get is a sound as clear as a bell and performances that are mostly good,Simile
the more adventurous will get itchy feet,Metaphor
the late man spoke with forked tongue,Euphemism
year in year out,Parallelism
all of a sudden his face just goes all long and white as a ghost.,Simile
the book ended on a positive note in that the enemy 's group leader tried to let bygones be bygones,Metaphor
The band and drums put on their best bib and tucker and all looked fantastic,Metaphor
you need to remember not to burn your bridges,Metaphor
The only thing I 'm bent out of shape about is that nobody knows it 's a different pickup,Euphemism
"poorer families who see the superior goods being consumed by their richer neighbours will attempt to""keep up with the Joneses ''",Metaphor
Do n't worry if you think you have two left feet,Euphemism
The terror suspects were tailed around the clock by surveillance teams of about a dozen officers each,Metaphor
He shows no surprise that Fairfax has come to pay his respects after nearly fifty years.,Metaphor
Scientific batsmanship goes by the board,Metaphor
"she arrived at lunch time, out of the blue to us",Metaphor
"Jazz is what one must be TRUE to, come hell or high water",Metaphor
It applies to health right across the board,Metaphor
"Such comments come a bit rich from the Opposition, when they have opposed each and every training initiative",Irony
he was only out to raise hell,Metaphor
I was bringing coals to Newcastle,Euphemism
half a loaf of bread,Literal
in your element,Metaphor
all governments are holier-than-thou in this respect,Metaphor
Others sink in what outsiders might regard as a storm in a teacup.,Paradox
it falls to the forensic linguist to pour cold water on them,Euphemism
we are saved by the bell,Personification
Only a dyed-in-the-wool swine would make you cry,Metaphor
Let him save his breath,Metaphor
If you ca n't work on the core problems then you 're doomed to chase your tail.,Metaphor
breathe fire,Metaphor
I felt fine afterwards and by Thursday was climbing the walls so ordered hubby to take two days off,Euphemism
it tasted like nothing on earth,Metaphor
David White and McCreery were neck and neck throughout the first 125 race,Metaphor
wooden aeroplanes are under a cloud,Euphemism
the games revealed he has a heart of oak,Metaphor
"And, suddenly, just as had happened to Michael Banks, at the eleventh hour the rhythm started to come",Metaphor
they were seeing each other until all hell broke loose,Metaphor
the men were in the altogether,Euphemism
"Jade knew this, and so she began to sweat bullets.",Metaphor
The state may sometimes fly in the face of the short-term economic interests of this class,Metaphor
He will have to help her search for a place in the sun.,Metaphor
pay back golden handshake payments made to streamline the council 's management,Metaphor
Her face as red as a beetroot.,Simile
Dean had to run the gauntlet of press more interested in his private life,Metaphor
they appear to want to move the goalposts,Metaphor
Do n't bury your head in the sand and hope it will go away,Metaphor
These are going like stink.,Simile
they are not there to steal the show,Metaphor
the defiantly right-on stance of the comedy circuit had been booted out by a brand of no-holds barred humour,Metaphor
it was a question of horses for courses,Metaphor
We found it very much a grey area,Metaphor
Denmark to touch base with BenRiach,Metaphor
Lady Luck,Personification
put your thinking cap on,Metaphor
I just know it ! I can feel it in my bones,Metaphor
"It 's done now -- in for a penny, in for a pound",Parallelism
their cases for adjudication will give them a fair crack of the whip,Metaphor
"I was totally speechless at the sheer size, at 41lb 12oz it was the icing on the cake",Metaphor
pressure has been placed on him to hang up his boots and return to the USA,Metaphor
a busted flush,Euphemism
"The aim of the Survey was to establish residents ' views, not just to be a fraudulent sugar coating on a rotten apple.",Metaphor
such an example is close to home,Metaphor
Even at the eleventh hour Islam and the West can join forces to stop it,Metaphor
it does n't ring a bell,Metaphor
they do not normally hit it off,Metaphor
"Most men are too kind, taken aback, or disgusted by that realization, and just simply say nothing",Metaphor
"Although she understood why he wanted her to bend the truth, it still went against the grain",Metaphor
The lesson was plain as day.,Simile
He appeared to have the Midas touch,Metaphor
He was finished. This had got to be the end of the road.,Metaphor
I was only a few yards away when the car came round the bend and hit the kerb.,Literal
There are definitely no airs and graces out there on the track,Metaphor
they had been trying to drum up support for another expedition,Metaphor
It might well make me a better writer in the long run,Metaphor
"Then, after a few years, if all goes according to plan, they hit the big time",Metaphor
"If I cut corners, I have something left on Saturday to go shopping with",Euphemism
give or take a shilling,Metaphor
The majority preferred to believe the picturesque stories passed down by parents as the gospel truth,Metaphor
"God calls we respond, not out of desire to stay in his good books.",Metaphor
"And we trusted him then again and again. 'There 's one born every minute ', they say.",Euphemism
his parents are faced with a desperate race against time,Personification
Go by the book and protect yourself from criticism.,Metaphor
"An unashamed culture vulture, she takes delight in illustrating her points",Metaphor
I love travelling and get a kick out of flying long-distance,Metaphor
"All the crew liked and even obeyed Silver, and he was always pleased to see me in the kitchen, which he kept as clean as a new pin.",Simile
That was the motivation to bring home the bacon,Metaphor
"Optimist here can not see Leeds winning, or keeping a clean sheet",Metaphor
"All hell broke loose, Mount Stewart was besieged by the media",Metaphor
Hold your horses. Was Hilary a boarder ?,Metaphor
"there has to be""give and take""on both sides",Metaphor
"In this discussion it has been hard to draw the line between issues that are essentially""characteristics of policy""and others",Metaphor
hold the fort until a couple of the better players show up,Metaphor
I begin to worry that when my turn comes to drive I 'll make a hash of things,Euphemism
in the bag,Metaphor
Mark was happy as a sandboy to be back in his job,Simile
the early bird catches the voter,Metaphor
she 'd better go and set the ball rolling,Metaphor
all would have been plain sailing,Metaphor
it was the last word of the sentence,Literal
Does the Labour Party 's position ring a bell in the ears of the government,Metaphor
Movies are now put together with half an eye on the potential for a spin-off TV series,Metaphor
These are the sort of achievements and skills that you may have under your belt,Metaphor
African Americans reaching for the brass ring of National Basketball Association success,Metaphor
like the movies which chime in with currently popular hate campaigns,Metaphor
"Things get harder the further you reach, and as you 're working against the clock there 's no sitting and thinking for too long",Metaphor
"We bend over backwards to be fair, to get to terms with the pupils, to try to get their confidence.",Metaphor
it boils down to a moral evaluation of differentiation,Metaphor
alternators were thick on the ground,Metaphor
This whole experience had been so fast and furious for me,Metaphor
Working and looking after children part-time gives me the best of both worlds.,Metaphor
"If only for 2 hours, it was great to turn back the hands of time",Personification
"I want to know what is going on in Birmingham, chapter and verse",Metaphor
"Fredric Jameson, approached things armed to the teeth.",Metaphor
plain as day,Simile
enjoy feeling as fit as a fiddle,Simile
Lettie is a figure of fun,Euphemism
It feels like you 're trying to put a square peg in a round hole.,Paradox
Frustrated commuters are being invited to take a hand in running Britain 's railways,Metaphor
she spilled the milk down the drain,Literal
It gives me the creeps and I know it frightened the kiddies,Metaphor
Are you a big cheese or small fry ?,Metaphor
"Another all too prevalent fungus that attacks roses, black spot, is a different kettle of fish",Metaphor
Doktor 's voice interrogating the bimbo-next-door about the ins-and-outs of her sexlife,Metaphor
they missed out on a golden opportunity,Metaphor
"the £75,000 payment in 1982 should be treated as a golden handshake",Metaphor
If you did n't blot your copybook by having a disciplinary charge against you.,Euphemism
So you 're out on a limb,Metaphor
It would be like shooting fish in a barrel for a Japanese submarine,Simile
It 's crazy how time flies by and how fast kids grow,Personification
satisfy those with a musical sweet tooth,Metaphor
gospel truth,Metaphor
he also wanted to take to his heels,Metaphor
Arnage seems to take a cue from the beefy Ram,Metaphor
the news of the rastrellamento spread like wildfire,Simile
he had her between a rock and a hard place.,Metaphor
Analysis of bones from this desert variety shows remarkable similarity to the bone assemblage from Sweden,Literal
the band always seems to turn heads,Metaphor
I ate as if there was no tomorrow whilst Benjamin seemed fascinated by someone further down the hall,Simile
cook the books,Euphemism
those shots are bound to go to his head,Literal
now a new rumour filled all ears,Literal
The women 's competition was a two horse race between last year 's winners,Metaphor
I do n't make an exhibition of myself out on the floor,Euphemism
It is a safe bet to assume this competition will present no problems for them,Metaphor
"She 's as sweet as pie, said Mrs.",Simile
she was singing a dismal sort of bass which made her fly off the handle,Euphemism
He spoke in fits and starts,Metaphor
She can talk the hind leg off a donkey,Hyperbole
possibly finding out that they do indeed have two left feet !,Euphemism
"if I may say so, you have hit the nail on the head with your reference to the registration",Metaphor
"over my dead body, and that 's my last word",Metaphor
The Catholic bishops are a day late and a dollar short when it comes to objecting,Metaphor
With this in mind Bob was a bag of nerves.,Euphemism
"I should have invited him, as Thorfinn did, but only time will tell if he was right",Personification
that nation is dead meat,Metaphor
the top gun day or weekend of your life,Metaphor
the exhibition provides food for thought,Metaphor
"the job 's being put on the""back burner""when more important assignments arrive",Metaphor
I 've become cock of the walk,Metaphor
"Hospitals close, trains stop, radar goes on the blink",Metaphor
they are throwing money down the drain,Euphemism
Margi 's stage persona is still a larger than life version,Metaphor
Halifax are pulling out all the stops to try to strengthen their squad,Metaphor
Constance cycled home from the Hall with her head in the clouds and her imagination fired,Euphemism
We could easily quite often sit on the fence,Metaphor
Reading defender Curtis Ujah waltzed through the home defence like a knife through butter,Simile
I suspect that at the back of his mind there lurked a phrase from Beowulf,Metaphor
the Queen was obliged to dance attendance on him,Metaphor
We need a breath of fresh air in school inspections.,Metaphor
"Perhaps you feel tense... or start taking short, fast breaths... or feel butterflies in your stomach",Metaphor
you will need at least 3 attempts if you follow your nose and employ trial and error,Metaphor
so successful that the BBC have jumped on the bandwagon,Metaphor
In one fell swoop the authorities have made a large step towards perpetuating the quality,Metaphor
the declaration is not worth the paper it is written on,Metaphor
dead as a doornail,Simile
one would have thought that he would be in his element,Metaphor
War-painted Hurons are the kind of scalping psychotics who would think it is a big girl 's blouse.,Euphemism
I was becoming an old hand by now,Metaphor
I 've come a cropper over this before,Metaphor
it would be easy to put him out of countenance,Metaphor
the Jacobins applied a rule of blood and iron.,Metaphor
"It 's rainin ' out there, cats and dogs",Metaphor
he had her between a rock and a hard place,Metaphor
as interest costs continue to fall in line with reduced borrowing,Metaphor
he looked so down in the mouth hunched up by the stove,Euphemism
On this fact rests Blackpool 's claim to fame,Metaphor
he declined to labour the point afterwards,Metaphor
"if South could be relied upon not to bid 5, then 4 from East would be a stand-out, and pigs might fly.",Irony
She has a hard act to follow,Metaphor
he used to come home ( pause ) looking as white as a sheet,Simile
Mark saw a dead duck in the pool,Literal
"watch your Reputation meter, as it may take a hammering",Euphemism
the home stretch,Metaphor
We wo n't feel obliged to put you under the microscope unless you force us to,Metaphor
it was a race against time to reach shore before it deflated,Personification
he saw a Cherokee type aircraft approaching him on a collision course from his 10 o'clock,Metaphor
unchaste women who are now pure as the driven snow,Simile
It would have to spend large amounts of public money to save face,Metaphor
"That, he said, was a mixed blessing",Metaphor
Simi was dressed to kill for the event,Metaphor
There was a pregnant pause,Personification
Tim Griffin does n't get chance to pick his brains about paths and stepping stones.,Metaphor
a fire crew 's Christmas outing turned into a busman 's holiday,Metaphor
"Yes, he and Molly certainly seemed to hit it off well",Metaphor
She does everything strictly by the book.,Metaphor
she would catch a cold on your behalf,Euphemism
Nobody had heard of Rosie O'Dell ; I was looking for a needle in a haystack.,Metaphor
The Lord Chancellor promised to back him through thick and thin.,Metaphor
Such led greens to suspect that they had been in cahoots,Metaphor
she did n't steal the show from him by any means,Metaphor
we do n't wish to pour cold water on what appears to be an imaginative set of ideas,Euphemism
"Papa Riley, a former leader of the travellers who went to pieces when his beloved wife died in childbirth",Metaphor
"You were just a junior, a sort of Girl Friday with no qualifications, hoping to learn the ropes",Metaphor
they sure hit a nerve,Metaphor
I 'm sure most Christis readers are pure as the driven snow.,Simile
"You stick right in there, to the bitter end.",Metaphor
John may be pushing up the daisies,Euphemism
clear as a bell,Simile
we will ensure that people who commit fraud and swindles are brought to book.,Metaphor
she will fly off the handle without finding out all the facts,Euphemism
"Tottenham are in the box seat, retaining a four-point advantage",Metaphor
"A ginger group, United Shareholders Association, plans this month to start soliciting",Metaphor
It was music to his ears,Metaphor
they 're sure to take the chequered flag,Metaphor
"I brought you the papers, and, being the trusting fellow you are, you made no bones about signing them.",Metaphor
This avoids the possibility of unwarranted decisions being made in the heat of the moment,Metaphor
read the riot act,Metaphor
"She had looked everywhere else and, although it seemed a long shot, she might as well look in there",Metaphor
Unfettered competition of dog eat dog policies must surely give way,Metaphor
Starter Sportswear worries after rising like a rocket that exports could drop like the stick.,Simile
Hits us below the belt as often as not,Euphemism
"I can offer him a position, all things being equal, in any of those companies",Metaphor
Babies do n't grow on trees,Metaphor
he spurred his hack forward at a canter,Metaphor
There is a grey area for all of us,Metaphor
Would it so break the mould of British politics on Thursday,Metaphor
I fear they may fall on deaf ears,Metaphor
creature of habit,Metaphor
"In spite of the worry at the back of her mind, she sat down beside her patient",Metaphor
"Surely these are pennies from heaven, they chorused",Metaphor
I felt fine afterwards and by Thursday was climbing the walls,Euphemism
The bag has been far and away the smallest in my lifetime,Metaphor
Nick Matthew admitted that he was running on empty,Metaphor
Bob Hex tells why he 's glad to go Dutch,Metaphor
Is that on the cards,Metaphor
between a rock and a hard place,Metaphor
"The po-faced statements issued by the Foreign Office that""the matter is under careful consideration""and the like are revealed as hot air",Metaphor
"despite floating on cloud nine, Laura had found herself also feeling extremely depressed",Metaphor
they want to cramp his style,Euphemism
"Though short, he stands head and shoulders above most",Metaphor
Confidence men always have an eye for extra exits,Metaphor
a golden opportunity to boost foreign trade links could have been lost,Metaphor
They 're all going bananas,Metaphor
"As time goes by, the world becomes filled with the most powerful and ingenious replicators",Personification
there was a fly on the wall that night,Literal
"It might be useful.""No sweat,""said Gloria casually",Metaphor
I 'm beginning to feel the draught a bit now - shoes & clothing wearing out,Metaphor
she had expected Lewis to jump at the chance of earning some money,Metaphor
"Long time no see, ' said the big man. ' Have we met ?",Metaphor
"It 's high time, it 's high time the leader of the Conservative Party learnt",Metaphor
"This phone is not for the faint hearted. Beware, it will turn heads",Metaphor
feast your eyes on the delicious new edition,Metaphor
they will go under the hammer at Sotherbys,Metaphor
A fragmented system can require clients to jump through hoops to get the service they need,Metaphor
with the ability to turn up the heat in an instant during a negotiation,Metaphor
they decided to go for broke,Euphemism
to aid and abet but not to take over from the voluntary worker any of the tasks,Euphemism
"Change your tune, why do n't you",Metaphor
he has set himself up to do the dirty on the community he came from,Metaphor
Sandie 's TRUE ambitions ran away from the desperate rat race,Euphemism
we can maybe hold the fort against the chaos that rages outside,Metaphor
Samson bent over backwards with his head touching the floor.,Literal
"It is possible to jump in at the deep end, buy a farm, and teach yourself, learning by your mistakes",Euphemism
it will break cover in South Cumbria 's Grizedale Forest,Metaphor
Of course it 's early days,Metaphor
Fight fire with fire ? Affirmative,Metaphor
An attack that too often blows hot and cold.,Metaphor
Alix 's mother forwarded it accidentally-on-purpose to the wrong address,Oxymoron
"A keen botanist, he was in his element identifying the ferns",Metaphor
Stalinism was in eclipse,Metaphor
is n't it time to cut your losses ?,Metaphor
wo n't you add fuel to the fire for it to last longer ?,Literal
Will you suggest they take the law into their own hands ?,Metaphor
So she came out and read the riot act to him.,Metaphor
he felt he was like a fish out of water,Simile
I 'm not going to make a break for it,Metaphor
efforts in Moscow to divide and rule by setting them against each other,Metaphor
I hold no brief for experienced river users who carelessly hazard themselves,Metaphor
I should be in his good books,Metaphor
"Well, it 's high time you did, Harris",Metaphor
Why ca n't you shut your eyes to it ?,Metaphor
When will you grow up and see that your heroes have feet of clay ?,Euphemism
Not surprisingly they take the easy way out,Metaphor
Darlington were down and out a minute later when Mark McGhee crossed from the right,Metaphor
The Prince does n't just shoot from the hip.,Metaphor
They know time is money so they have a policy of buying it with yours and everyone else 's,Metaphor
"I realize now, that I can not turn back the hands of time",Personification
Can you hold the fort for a minute or two ?,Metaphor
"These days, to 'leave bag and baggage ' means just to clear out of a property, leaving nothing behind.",Metaphor
you had the two finest wooden rackets and had no intention of following the fibreglass racket trend as it was all a flash in the pan,Metaphor
The poor could try to put off the evil day,Metaphor
prove Saturday was not a flash in the pan,Metaphor
you 're always trying to get the better of me. I do n't like people attacking me all the time.,Metaphor
"Mary 's funny alright. Yeah, she 's a laugh a minute",Metaphor
it showed them in the first flush of romance,Metaphor
We 'd been heavily blitzed and this gave us the opportunity to think big and boldly and to think philosophically,Metaphor
he is a glutton for punishment,Metaphor
who still enjoy life in the fast lane,Metaphor
This clever piece of satire had no effect and must have fallen like water off a duck 's back,Simile
"Since the 1970s there has been a movement to bring art into hospitals, to sugar the pill.",Metaphor
make your county ground look as bright as a button,Simile
Foo was perceived as the new kid on the block,Metaphor
Who wrote the rules on how to act your age ?,Euphemism
"as a crowning glory, end the meal with fruity Tangerine Chartreuse",Metaphor
he was clearly in two minds how to resolve this dilemma,Metaphor
the jury is out on whether organic food is safer than conventionally-grown produce,Metaphor
Financial problems cause the household to tighten their belt and also sell off some of the family assets,Metaphor
he was in his element identifying the ferns,Metaphor
it might be time to throw in the towel.,Euphemism
Eva marshalled any of her friends in high places who sympathised with the cause,Metaphor
This would have led to well-defined thermodynamic and cosmological arrows of time,Metaphor
the Soviet Union had been invited to do the honours,Metaphor
They 're topping the bill in the Central Match Live,Metaphor
Truth had had to go by the board in the work he had been doin,Metaphor
"I was still to get off the ground. But then the crag was undercut, and my first move was a leftwards traverse above a 20 foot drop",Literal
"there is a grey area, of 40 to 45 for men and 35 to 40 for women",Metaphor
Dr Seuss explores the pitfalls of growing too big for your boots,Metaphor
Bomb disposal specialists have it easy,Metaphor
It was happy to have a foot in both camps,Metaphor
we must get off our high horse,Metaphor
The result of this casual attitude is a grey area where the two signs are not clearly differentiated,Metaphor
the parallel connection is far and away the faster of the two possibles,Metaphor
First Leisure 's approach to Milton Keynes Borough Council drew a blank,Euphemism
Rachel completely set her face against the idea,Metaphor
"Such a trial, however, could well prove to be a double-edged sword for the administration",Metaphor
The women of America responded beyond his wildest dreams,Metaphor
"it continues to be""the brass ring""to which both terrorist organizations and jihadists aspire.",Metaphor
do n't assume all women are cut from the same cloth,Metaphor
They were not to be in two minds,Metaphor
"when we need some reference, we have got that chapter and verse",Metaphor
eager beaver,Metaphor
a ghosted autobiography that will cost some newspaper a king 's ransom,Metaphor
close to the bone,Euphemism
She pulled the plug from the wall,Literal
hormones are no longer racing through the body like the clappers,Simile
Moral standards go by the board in an atmosphere that seems generated purely for the above purposes.,Metaphor
To suggest that a re-reading is the only option open to us is a counsel of despair,Metaphor
in one fell swoop he had hoisted her on to his shoulders,Metaphor
dig up dirt,Metaphor
Collocations like curry favour,Metaphor
she crept out of her bed in the dead of night,Metaphor
If it was decent weather you 'd have to give a hand in the garden,Metaphor
"After all, as every good conman knows, there 's one born every minute.",Euphemism
"In the first flush of youthful passion, Leslie had vowed that he would rather have a few years with me",Metaphor
It 's a bird 's eye view as to where everything is on the spreadsheet.,Metaphor
they 've got to be cruel to be kind,Paradox
she 'd thought Rory was trying to keep her in the dark about such a momentous event,Metaphor
the French have n't put a foot wrong,Metaphor
I wo n't take it lying down,Metaphor
I was about to go bonkers,Metaphor
Those kids should n't rest on their laurels,Metaphor
they introduced an amendment to the Trade Union Reform and Employment Rights Bill at the eleventh hour in the Lords,Metaphor
I 'm not going to give you a lot of crap about being pure as the driven snow myself.,Simile
you do n't want to put words in his mouth,Metaphor
You can definitely say he 's sick as a parrot.,Simile
"Kronos, first-born son of the Great Galactic Emperor Iridon I, has come of age",Metaphor
keep Docklands alive and kicking,Metaphor
Now 's your chance to put your money where your mouth is and run for election,Metaphor
those children are as fresh as a daisy,Simile
